P,T,N2,O2,Ar,y_N2,y_O2,y_Ar,x_N2,x_O2,x_Ar,vap_rho,liq_rho,vap_etlp,liq_etlp,vap_F,liq_F
564.0413008,-173.6390646,0.621216682,0.365256918,0.0135264,0.801172624,0.189679246,0.00914813,0.618902512,0.367514785,0.013582703,0.786839455,28.09358662,-5934.196375,-11183.23476,0.007053541,0.548502014
564.0413008,-173.6390646,0.624947262,0.354081948,0.02097079,0.799175944,0.186522547,0.014301509,0.617400452,0.361339875,0.021259673,0.786827687,28.09787126,-5926.422392,-11170.14119,0.023065115,0.532490441
564.0413008,-173.6390646,0.624947262,0.357806938,0.0172458,0.800162752,0.188085425,0.011751823,0.618143648,0.364397221,0.017459131,0.786833508,28.09575389,-5930.268528,-11176.62181,0.020765873,0.534789682
564.0413008,-173.6390646,0.624947262,0.361531928,0.01352081,0.801150043,0.18964367,0.009206287,0.618885563,0.3674452,0.013669237,0.786839322,28.09363508,-5934.108638,-11183.08711,0.018476506,0.53707905
564.0413008,-173.6390646,0.624947262,0.365256918,0.00979582,0.80213784,0.191197355,0.006664805,0.619626222,0.370483934,0.009889844,0.786845131,28.09151481,-5937.942863,-11189.53731,0.016196962,0.539358593
564.0413008,-173.6390646,0.628677843,0.354081948,0.017240209,0.800133032,0.188038435,0.011828533,0.618121289,0.364305302,0.017573408,0.786833333,28.09581766,-5930.15281,-11176.4269,0.032221832,0.523333724
564.0413008,-173.6390646,0.628677843,0.357806938,0.013515219,0.801127151,0.1896076,0.009265248,0.618868379,0.36737465,0.013756971,0.786839188,28.09368422,-5934.019688,-11182.93741,0.029900904,0.525654652
564.0413008,-173.6390646,0.628677843,0.361531928,0.009790229,0.802121728,0.191172056,0.006706217,0.619614154,0.370434455,0.009951391,0.786845036,28.0915494,-5937.880385,-11189.43225,0.027589994,0.527965562
564.0413008,-173.6390646,0.628677843,0.365256918,0.006065239,0.803116783,0.192731875,0.004151342,0.620358639,0.373484846,0.006156515,0.786850878,28.08941317,-5941.735045,-11195.91166,0.025289051,0.530266505
564.0413008,-173.6390646,0.632408423,0.354081948,0.013509629,0.801103941,0.189571027,0.009325032,0.618850956,0.367303114,0.01384593,0.786839051,28.09373403,-5933.929498,-11182.78562,0.041326765,0.51422879
564.0413008,-173.6390646,0.632408423,0.357806938,0.009784639,0.802105394,0.191146406,0.006748201,0.619601919,0.370384292,0.01001379,0.78684494,28.09158447,-5937.817044,-11189.32573,0.03898405,0.516571506
564.0413008,-173.6390646,0.632408423,0.361531928,0.006059649,0.803107276,0.192716996,0.004175727,0.620351533,0.373455752,0.006192715,0.786850823,28.08943358,-5941.698252,-11195.84984,0.0366515,0.518904055
564.0413008,-173.6390646,0.632408423,0.365256918,0.002334659,0.804109612,0.194282874,0.001607514,0.621099824,0.376517625,0.00238255,0.786856699,28.08728134,-5945.573269,-11202.35818,0.034329064,0.521226491
564.1239024,-173.7492587,0.628677843,0.354081948,0.017240209,0.806375358,0.182075979,0.011548663,0.62770086,0.355027638,0.017271502,0.788128927,28.02836177,-5934.662248,-11168.95788,0.003037747,0.552517808
564.1239024,-173.7492587,0.628677843,0.357806938,0.013515219,0.807345988,0.183607667,0.009046345,0.628436172,0.358042564,0.013521264,0.788134659,28.02626061,-5938.439027,-11175.3555,0.000750442,0.554805113
